state,total_population,male,female,median_age,age_over18,age_over21,age_over62,age_over65,single_race,two_or_more_race,white,black,indian_alaska,asian,hawaiian_pacific,other_races,hispanic_latino,housing_units,citizen,citizen_male,citizen_female,state_abbr
Alabama,4863300,2356052,2507248,39.0,3763783,3553484,964274,783952,4779442,83858,3389735,1338854,56661,85704,3769,77234,199686,2230180,3670229,1742667,1927562,AL
Alaska,741894,390573,351321,33.5,554598,526655,99799,75832,677933,63961,536380,37479,145982,61637,15903,15826,51304,310672,531845,280943,250902,AK
Arizona,6931071,3444228,3486843,37.5,5299649,5003462,1411716,1169826,6681391,249680,5465822,384932,392975,289425,31883,643100,2144775,2961136,4801062,2357954,2443108,AZ
Arkansas,2988248,1468782,1519466,38.0,2280888,2142654,594353,485630,2910827,77421,2358554,496098,53548,53699,11608,97373,214544,1354801,2193217,1061614,1131603,AR
California,39250017,19491231,19758786,36.4,30156768,28534107,6597908,5348439,37370367,1879650,24980439,2758577,746753,6432756,319337,6074661,15280776,14061375,25197798,12339669,12858129,CA
Colorado,5540545,2790701,2749844,36.7,4280033,4055804,930733,743056,5356184,184361,4821075,296883,113874,229940,17506,263483,1181218,2339140,3979278,1987199,1992079,CO
Connecticut,3576452,1745153,1831299,40.9,2824290,2666866,708389,576640,3464928,111524,2830366,441437,38558,190086,4062,196716,562347,1499145,2602785,1248029,1354756,CT
Delaware,952065,460232,491833,40.6,747828,710465,204586,166674,926351,25714,679963,225488,10179,43419,2820,17792,87152,426154,705209,334269,370940,DE
District of Columbia,681170,323591,357579,33.9,560388,527007,99961,79097,663435,17735,290787,329599,5809,34489,289,40087,74422,313703,513470,239366,274104,DC
Florida,20612439,10070860,10541579,42.1,16467299,15708372,4864413,4090764,20079688,532751,16027408,3583291,167446,708195,42968,664982,5126578,9302140,14732562,7069349,7663213,FL
Georgia,10310371,5018150,5292221,36.5,7799761,7349689,1686528,1359134,10051915,258456,6263135,3401427,103846,471515,17918,341350,962334,4219103,7241281,3444627,3796654,GA
Hawaii,1428557,718057,710500,38.9,1120792,1070271,299694,243541,1086878,341679,613488,49512,33315,810627,371680,30329,148150,537170,1018631,518894,499737,HI
Idaho,1683140,841203,841937,36.1,1246683,1174020,317211,256162,1641070,42070,1548224,18885,42982,38289,5946,73268,207248,700829,1191262,589252,602010,ID
Illinois,12801539,6289724,6511815,37.9,9878820,9365265,2327183,1872830,12480128,321411,9402346,1950134,98929,786820,15061,895742,2178790,5327165,9038458,4355252,4683206,IL
Indiana,6633053,3267337,3365716,37.6,5055520,4766764,1239488,993339,6474410,158643,5685793,704428,50494,172555,8155,177946,448079,2854595,4867305,2357022,2510283,IN
Iowa,3134693,1556668,1578025,38.0,2407726,2261895,636828,513742,3077400,57293,2887953,142363,25409,87194,5904,46455,179062,1380087,2320932,1136082,1184850,IA
Kansas,2907289,1448853,1458436,36.5,2192370,2057995,544770,437671,2803923,103366,2554809,211231,62907,100795,6667,83646,336909,1259870,2077911,1021886,1056025,KS
Kentucky,4436974,2179814,2257160,38.7,3424517,3233131,856122,687525,4344839,92135,3951092,420332,32270,77104,3886,48015,151920,1965577,3342304,1616156,1726148,KY
Louisiana,4681666,2291880,2389786,36.5,3564385,3365041,834371,674179,4588917,92749,2984864,1563466,63061,93530,2995,76949,231168,2037067,3466716,1666194,1800522,LA
Maine,1331479,650702,680777,44.5,1076528,1024854,313413,256652,1305139,26340,1282395,26592,21517,23732,1668,3256,20714,730786,1056891,511896,544995,ME
Maryland,6016447,2917773,3098674,38.5,4670295,4441566,1094990,876448,5815406,201041,3557526,1903321,58850,449268,11852,254887,586730,2447211,4260093,2021014,2239079,MD
Massachusetts,6811779,3305817,3505962,39.5,5432832,5114534,1330016,1074425,6599414,212365,5536798,627509,46254,500157,11125,318688,779696,2858087,4948041,2355624,2592417,MA
Michigan,9928300,4883220,5045080,39.7,7737117,7318641,1996629,1609065,9622080,306220,8068217,1514424,157645,362199,9838,148293,491430,4560164,7453953,3616641,3837312,MI
Minnesota,5519952,2747946,2772006,37.9,4231329,4014824,1035289,830335,5363306,156646,4738455,399885,106393,310723,6487,127686,288460,2409701,4036966,1986327,2050639,MN
Mississippi,2988726,1440934,1547792,37.2,2265573,2121473,559944,449634,2954874,33852,1778264,1153632,24589,33524,2039,33014,86733,1307492,2233124,1058809,1174315,MS
Missouri,6093000,2994651,3098349,38.4,4702936,4441253,1194302,976979,5942900,150100,5150148,777140,80414,151203,13108,81542,243567,2760226,4584987,2219774,2365213,MO
Montana,1042520,526023,516497,40.1,813846,771118,229187,183881,1010302,32218,957640,9759,87763,14044,2254,5395,37090,497749,804235,401606,402629,MT
Nebraska,1907116,950124,956992,36.3,1433031,1348401,352584,285290,1861730,45386,1715506,111022,29023,54283,3794,42165,202449,827191,1354457,665331,689126,NE
Nevada,2940058,1473153,1466905,37.9,2262556,2156680,542667,441761,2800856,139202,2077679,306810,63485,305678,40951,299543,836626,1221759,1976423,988330,988093,NV
New Hampshire,1334795,664722,670073,42.7,1074954,1016615,282551,226932,1306078,28717,1274258,26478,10205,42487,639,10887,47271,625337,1043880,512996,530884,NH
New Jersey,8944469,4370211,4574258,39.5,6960030,6628931,1685400,1372155,8707143,237326,6278080,1315079,59227,935236,11348,606064,1786669,3604688,6127545,2941836,3185709,NJ
New Mexico,2081015,1030224,1050791,37.7,1591501,1504479,420921,342061,2015110,65905,1594339,55675,220136,46208,2977,232503,1009876,917641,1481858,724398,757460,NM
New York,19745289,9582050,10163239,38.4,15565903,14759559,3734931,3030781,19128428,616861,13006279,3389796,197369,1864781,30833,1928061,3747614,8232039,13702460,6513994,7188466,NY
North Carolina,10146788,4933381,5213407,38.7,7849894,7422376,1937529,1568591,9877922,268866,7210722,2337481,205112,336661,17209,333531,931110,4540697,7418127,3529077,3889050,NC
North Dakota,757953,390181,367772,35.0,583358,548001,136247,109851,736365,21588,681403,22571,53166,13470,1887,8007,26434,368545,570697,292569,278128,ND
Ohio,11614373,5691600,5922773,39.3,9005402,8537159,2325631,1884914,11289941,324432,9769334,1644622,94297,305150,12117,137866,420081,5164400,8785985,4243751,4542234,OH
Oklahoma,3923561,1943273,1980288,36.4,2961605,2790483,723249,588292,3619955,303606,3120274,356787,523624,105872,12053,124081,403936,1721072,2821838,1373215,1448623,OK
Oregon,4093465,2026038,2067427,39.2,3225219,3067818,859085,688888,3885872,207593,3649771,116114,141215,235801,36313,139013,522568,1732887,3021486,1476827,1544659,OR
Pennsylvania,12784227,6262870,6521357,40.6,10109382,9578514,2731230,2221761,12460473,323754,10618697,1599908,103259,493781,12659,307169,900002,5611995,9740121,4704731,5035390,PA
Rhode Island,1056426,511358,545068,40.2,847786,794614,213829,174055,1023539,32887,873134,86467,15512,44090,3529,71037,157352,462598,787945,372926,415019,RI
South Carolina,4961119,2405343,2555776,39.1,3861155,3647551,1018947,830147,4853023,108096,3437291,1402857,45517,98824,5573,88354,272791,2236262,3731331,1774596,1956735,SC
South Dakota,865454,435668,429786,36.8,651553,612266,170828,137569,843906,21548,753376,20501,89660,15830,1708,7531,32227,383827,635373,315615,319758,SD
Tennessee,6651194,3247058,3404136,38.6,5147942,4880142,1293021,1045255,6511344,139850,5304196,1187342,62086,143549,9947,92283,347442,2919698,4968677,2377932,2590745,TN
Texas,27862596,13830953,14031643,34.5,20570902,19357493,4185416,3352843,27147882,714714,21310714,3642426,350974,1493998,51563,1777528,10883279,10754268,17841560,8699836,9141724,TX
Utah,3051217,1538145,1513072,30.7,2129370,1991336,399594,319490,2962173,89044,2713804,51667,52223,104864,44861,180460,420440,1054242,1983374,989003,994371,UT
Vermont,624594,307874,316720,43.1,505910,473928,141406,113600,612270,12324,600733,11314,7972,13419,664,3789,12546,329539,494736,242185,252551,VT
Virginia,8411808,4135485,4276323,38.2,6544248,6182256,1518297,1228045,8101385,310423,5966699,1762171,86426,649343,21721,266541,760611,3491185,6093779,2956909,3136870,VA
Washington,7288000,3639726,3648274,37.7,5658939,5378695,1350738,1078813,6873864,414136,5883913,394194,220683,768828,88387,393564,906451,3025802,5173515,2563659,2609856,WA
