state_abbr,date_range_start,Nunits_Benchmark,SumDailyVisits_Benchmark,MaxDailyVisitsPerUnit_Benchmark,MinDailyVisitsPerUnit_Benchmark,MedDailyVisitsPerUnit_Benchmark,Nunits_Focal,SumDailyVisits_Focal,MaxDailyVisitsPerUnit_Focal,MinDailyVisitsPerUnit_Focal,MedDailyVisitsPerUnit_Focal,Post03132020,BlueState,Blue_Post,ln_SumDailyVisits,state,total_population,male,female,median_age,age_over18,age_over21,age_over62,age_over65,single_race,two_or_more_race,white,black,indian_alaska,asian,hawaiian_pacific,other_races,hispanic_latino,housing_units,citizen,citizen_male,citizen_female,Y,date,day_of_week,Monday,Monday
AL,2018-01-01 00:00:00+00:00,4.0,316.0,39.0,1.0,8.5,2.0,428.0,51.0,7.0,29.0,0.0,0.0,0.0,6.061456918928017,Alabama,4863300,2356052,2507248,39.0,3763783,3553484,964274,783952,4779442,83858,3389735,1338854,56661,85704,3769,77234,199686,2230180,3670229,1742667,1927562,0.30255514505073666,2018-01-01 00:00:00+00:00,Monday,True,True
AL,2018-01-08 00:00:00+00:00,4.0,344.0,35.0,1.0,10.0,2.0,399.0,51.0,11.0,28.0,0.0,0.0,0.0,5.991464547107982,Alabama,4863300,2356052,2507248,39.0,3763783,3553484,964274,783952,4779442,83858,3389735,1338854,56661,85704,3769,77234,199686,2230180,3670229,1742667,1927562,0.14792013007662153,2018-01-08 00:00:00+00:00,Monday,True,True
AL,2018-01-15 00:00:00+00:00,4.0,398.0,48.0,0.0,13.0,2.0,410.0,66.0,4.0,28.5,0.0,0.0,0.0,6.018593214496234,Alabama,4863300,2356052,2507248,39.0,3763783,3553484,964274,783952,4779442,83858,3389735,1338854,56661,85704,3769,77234,199686,2230180,3670229,1742667,1927562,0.02963179760637047,2018-01-15 00:00:00+00:00,Monday,True,True
AL,2018-01-22 00:00:00+00:00,4.0,356.0,34.0,1.0,11.0,2.0,497.0,70.0,17.0,31.0,0.0,0.0,0.0,6.210600077024653,Alabama,4863300,2356052,2507248,39.0,3763783,3553484,964274,783952,4779442,83858,3389735,1338854,56661,85704,3769,77234,199686,2230180,3670229,1742667,1927562,0.33286429524501404,2018-01-22 00:00:00+00:00,Monday,True,True
AL,2018-01-29 00:00:00+00:00,4.0,384.0,49.0,1.0,11.0,2.0,464.0,58.0,16.0,31.0,0.0,0.0,0.0,6.142037405587356,Alabama,4863300,2356052,2507248,39.0,3763783,3553484,964274,783952,4779442,83858,3389735,1338854,56661,85704,3769,77234,199686,2230180,3670229,1742667,1927562,0.18879407129957126,2018-01-29 00:00:00+00:00,Monday,True,True
AL,2018-02-05 00:00:00+00:00,4.0,501.0,39.0,6.0,16.0,2.0,480.0,68.0,7.0,26.5,0.0,0.0,0.0,6.175867270105761,Alabama,4863300,2356052,2507248,39.0,3763783,3553484,964274,783952,4779442,83858,3389735,1338854,56661,85704,3769,77234,199686,2230180,3670229,1742667,1927562,-0.04273284958596779,2018-02-05 00:00:00+00:00,Monday,True,True
AL,2018-02-12 00:00:00+00:00,4.0,687.0,48.0,9.0,24.0,2.0,659.0,75.0,16.0,46.5,0.0,0.0,0.0,6.492239835020471,Alabama,4863300,2356052,2507248,39.0,3763783,3553484,964274,783952,4779442,83858,3389735,1338854,56661,85704,3769,77234,199686,2230180,3670229,1742667,1927562,-0.041549002912872446,2018-02-12 00:00:00+00:00,Monday,True,True
AL,2018-02-19 00:00:00+00:00,4.0,502.0,40.0,6.0,16.0,2.0,463.0,61.0,10.0,25.5,0.0,0.0,0.0,6.139884552226255,Alabama,4863300,2356052,2507248,39.0,3763783,3553484,964274,783952,4779442,83858,3389735,1338854,56661,85704,3769,77234,199686,2230180,3670229,1742667,1927562,-0.08070561787348396,2018-02-19 00:00:00+00:00,Monday,True,True
AL,2018-02-26 00:00:00+00:00,4.0,554.0,39.0,6.0,18.0,2.0,495.0,61.0,20.0,25.5,0.0,0.0,0.0,6.206575926724928,Alabama,4863300,2356052,2507248,39.0,3763783,3553484,964274,783952,4779442,83858,3389735,1338854,56661,85704,3769,77234,199686,2230180,3670229,1742667,1927562,-0.11239218702150655,2018-02-26 00:00:00+00:00,Monday,True,True
AL,2018-03-05 00:00:00+00:00,4.0,530.0,47.0,4.0,15.5,2.0,527.0,77.0,16.0,37.5,0.0,0.0,0.0,6.269096283706261,Alabama,4863300,2356052,2507248,39.0,3763783,3553484,964274,783952,4779442,83858,3389735,1338854,56661,85704,3769,77234,199686,2230180,3670229,1742667,1927562,-0.005665737535677451,2018-03-05 00:00:00+00:00,Monday,True,True
